dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_start:mayor_talk|Witaj przybysz{u/ko}, to chyba twoja pierwsza wizyta w miejscowości {s9}. Jestem mistrzem gildii w tym mieście.
dlga_start:mayor_begin.1|Witaj, {playername}.
dlga_mayor_begin:lord_persuade_lords_to_make_peace_completed|{playername}, to niesamowite, że udało ci się nakłonić {s14} i {s15} do podpisania traktatu pokojowego! Twoje zaangażowanie nie tylko uratowało miasto przed katastrofą, ale również ocaliło tysiące istnień oraz zakończyło okrutną wojnę, która to spowodowała. Jako mieszkańcy miasta {s19}, dotrzymamy wszelkich obietnic i wiedz, że jesteśmy gotowi zapłacić {reg12} denarów.
dlga_lord_persuade_lords_to_make_peace_completed:lord_persuade_lords_to_make_peace_pay|Dziękuję. Zabiorę pieniądze.
dlga_lord_persuade_lords_to_make_peace_completed:lord_persuade_lords_to_make_peace_no_pay|Nie ma potrzeby płacić. Stało się tylko to, co stać się powinno.
dlga_lord_persuade_lords_to_make_peace_pay:close_window|Och, tak, oczywiście. Mamy już dla ciebie te pieniądze. Proszę, przyjmij te {reg12} denarów wraz z naszymi wyrazami wdzięczności. Nigdy nie zapomnimy o twojej pomocy.
dlga_lord_persuade_lords_to_make_peace_no_pay:close_window|Jesteś naprawdę niezwykłą osobą, {panie/pani}, i to dla mnie zaszczyt, że ciebie poznałem. Nie tylko udało ci się dokonać niemożliwego i zakończyć tę straszliwą wojnę, ale nawet nie chcesz za to nagrody. Dobrze, nie będę naciskał w tej sprawie, ale wiedz proszę, że masz naszą dozgonną wdzięczność i szacunek.
dlga_mayor_begin:lord_deal_with_night_bandits_completed|Dobra robota, {playername}, doskonale poradził{eś/aś} sobie z tymi nieprawymi kundlami. Dziękuję ci za pomoc i proszę, przyjmij w nagrodę te 150 denarów.
dlga_lord_deal_with_night_bandits_completed:close_window|Cała przyjemność po mojej stronie, {s65}.
dlga_mayor_begin:mayor_looters_quest_response|Ach, {playername}. Jakieś postępy?
dlga_mayor_looters_quest_response:mayor_looters_quest_destroyed|Udało mi się zabić kilku grabieżców.
dlga_mayor_looters_quest_response:mayor_looters_quest_goods|Przynoszę ci towary.
dlga_mayor_looters_quest_response:close_window|Wciąż nad tym pracuję, panie. Do zobaczenia.
dlga_mayor_looters_quest_destroyed:mayor_looters_quest_destroyed_2|Tak, moi zwiadowcy wszystko widzieli. To powinno dać do myślenia każdemu łachudrze, który chciałby zostać przestępcą! Nagroda wynosi 40 denarów za każdą bandę, więc łącznie jest to {reg1}. Oto pieniądze, zgodnie z obietnicą.
dlga_mayor_looters_quest_destroyed_2:close_window|To nie wszystkie dobre wieści! Dzięki tobie grabieżcy przestali być zagrożeniem. Od jakiegoś czasu nie informowano o żadnych atakach. Jeśli jeszcze jacyś ocaleli, to albo pouciekali, albo siedzą gdzieś w ukryciu. To dobra informacja dla miasta, gdyż możemy wrócić do naszych spraw, bez obaw, że coś nam zagraża! Myślę, że naszą umowę można uznać za wypełnioną, {playername}. Przyjmij to srebro jako dowód mojej wdzięczności. Dziękuję i do zobaczenia.
dlga_mayor_looters_quest_destroyed_2:mayor_looters_quest_response|Potrzebujesz czegoś jeszcze?
dlga_mayor_looters_quest_goods:mayor_looters_quest_goods_response|Ha, wiedziałem, że mogę na ciebie liczyć! Powiedz mi tylko, jaki przedmiot zabrać z twojego bagażu, a ja wyślę ludzi, by to przejęli. Wciąż potrzebuję towarów wartych {reg1} denarów.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_2|{s5}.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_3|W obecnej chwili nic, panie.
dlga_mayor_looters_quest_goods_3:mayor_looters_quest_response|Potrzebujesz czegoś jeszcze?
dlga_mayor_looters_quest_goods_2:mayor_looters_quest_goods_response|Doskonale, oto pieniądze za: {s6}. Masz jeszcze jakieś towary dla mnie? Wciąż potrzebuję towarów wartych {reg1} denarów.
dlga_mayor_looters_quest_goods_2:close_window|Dobrze, {playername}, to było ostatnie, czego potrzebowałem. Oto pieniądze za: {s6} oraz mała premia za pomoc. Obawiam się, że nie zapłacę już za żadne towary ani nie wypłacę nagród za grabieżców, ale możesz na nich polować, jeśli jeszcze pozostali. Dziękuję za pomoc, nie zapomnę ci tego.
dlga_mayor_begin:close_window|Dobrze cię znów widzieć, {playername}. Doszły mnie słuchy, że udało ci się skutecznie przegnać bydło. Powiem kupcom o twojej rzetelności. A to twoja zapłata, {reg8} denarów.
dlga_mayor_begin:move_cattle_herd_failed|Doszły mnie słuchy, że część bydła została utracona w drodze do miejscowości o nazwie {s9}. Bardzo trudno było mi wyjaśnić twoją porażkę właścicielowi tego stada, {panie/pani}. Masz coś do powiedzenia?
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2|Przykro mi. Zaatakowano mnie po drodze.
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2.1|Przykro mi. Te głupie zwierzęta pouciekały w nocy.
dlga_move_cattle_herd_failed_2:merchant_ask_for_debts|Cóż, niezależnie od wszystkiego, doprowadzenie tego bydła było twoim obowiązkiem. Musisz wiedzieć, że właściciel stada zażądał rekompensaty w postaci 1000 denarów, które musiałem mu zapłacić. Teraz musisz oddać mi te pieniądze.
dlga_mayor_begin:close_window.1|{playername}, mam wobec ciebie dług wdzięczności. Córka mojego przyjaciela wróciła do domu cała i zdrowa. Proszę, przyjmij obiecane {reg8} denarów. Mój przyjaciel dałby więcej, gdyby nie ten okup, który zrujnował go doszczętnie.
dlga_mayor_begin:mayor_friendly_pretalk|Cóż, wygląda na to, że zdołał{eś/aś} wytropić tych bandytów i pokazać im, co spotyka tych, którzy zakłócają handel. Oto twoja nagroda - {reg5} denarów. Zapracował{eś/aś} na nie. Jesteśmy ci wdzięczni, {panie/pani}.
dlga_mayor_begin:mayor_friendly_pretalk.1|Słyszałem o twoich uczynkach. Udało ci się dać tym bandytom prawdziwą szkołę, na którą zasługiwali. Naprawdę jest tak, jak o tobie powiadają. Oto twoja nagroda - {reg5} denarów. Chciałbym dać ci więcej, ale bandyci niemal doprowadzili mnie do bankructwa.
dlga_mayor_begin:merchant_ask_for_debts|Zgodnie z moimi rachunkami, masz wobec kupców gildii dług {reg1} denarów. Lepiej zabiorę teraz te pieniądze.
dlga_merchant_ask_for_debts:merchant_debts_paid|Dobrze. Spłacę ci mój dług.
dlga_merchant_debts_paid:mayor_pretalk|Doskonale. Poinformuję moich znajomych kupców, że nie masz już żadnych długów.
dlga_merchant_ask_for_debts:merchant_debts_not_paid|Obawiam się, że nie mogę teraz wyłożyć takiej kwoty.
dlga_merchant_debts_not_paid:close_window|W takim wypadku ja obawiam się, że nie mogę z tobą robić interesów. Regulamin gildii... Wróć, kiedy zdobędziesz dla nas te {reg1} denarów. I pamiętaj, że będziemy zwiększać odsetki od twojego długu. Im szybciej zapłacisz, tym lepiej.
dlga_mayor_begin:mayor_talk|Co mogę dla ciebie zrobić?
dlga_mayor_friendly_pretalk:mayor_talk|No dobrze. Co jeszcze mogę dla ciebie zrobić?
dlga_mayor_pretalk:mayor_talk|Tak?
dlga_mayor_talk:mayor_info_begin|Możesz mi powiedzieć o tym, czym się zajmujesz?
dlga_mayor_talk:merchant_quest_requested|Masz może dla mnie jakąś pracę?
dlga_mayor_talk:merchant_quest_last_offered_job|Ja w kwestii tej zaoferowanej pracy...
dlga_mayor_talk:merchant_quest_about_job|Ja w kwestii tej zleconej pracy...
dlga_mayor_talk:mayor_political_talk|Mam kilka pytań natury politycznej.
dlga_mayor_talk:mayor_economy_report_1|Jak wygląda tu handel?
dlga_mayor_talk:mayor_wealth_comparison_1|Jak bogactwo tego regionu wygląda na tle Calradii?
dlga_mayor_talk:mayor_investment_possible|Chciałbym kupić kawałek ziemi w tym mieście, aby zająć się produkcją.
dlga_mayor_investment_possible:mayor_pretalk|Masz tu już {s4}. Zakładam, że trudno będzie znaleźć wystarczającą ilość wyszkolonych handlarzy, aby otworzyć drugą firmę.
dlga_mayor_investment_possible:mayor_pretalk.1|{s9}
dlga_mayor_investment_possible:mayor_investment_advice.1|Oczywiście, {mój panie/moja pani}. Jesteś głową tego miasta i nikt nie będzie próbował cię powstrzymać.
dlga_mayor_investment_possible:mayor_investment|Cóż, biorąc pod uwagę twoje relacje z naszym lennikiem, {s4}, zdaje mi się, że nie znajdzie się wielu odważnych, którzy będą chcieli sprzedać ci ziemię.
dlga_mayor_investment_possible:mayor_pretalk.2|Mówiąc szczerze, wydaje mi się, że my, jako członkowie gildii, chcielibyśmy poznać cię trochę lepiej. Mamy swoje zasady, jeśli chodzi o przyjezdnych, którzy kupują w mieście ziemię.
dlga_mayor_investment_possible:mayor_investment_advice.2|Doskonale, {panie/moja pani}. Członkowie gildii znają cię i darzą zaufaniem. Wydaje mi się, że jestem w stanie znaleźć kogoś, kto sprzeda ci ziemię.
dlga_mayor_investment_advice:investment_choose_enterprise|Kilka rzeczy, o których należy pamiętać - wprawni pracownicy zawsze są poszukiwani, wątpię więc, aby udało ci się otworzyć tu więcej niż jedną wytwórnię. Aby zarobić, powinieneś wybrać towar, który nie jest łatwo dostępny, ale surowce do jego produkcji są tanie. Jakiego rodzaju wytwórnię chciałbyś uruchomić?
dlga_investment_choose_enterprise:investment_summary|A mill and bakery, to make bread from grain
dlga_investment_choose_enterprise:investment_summary.1|Browar, aby wytwarzać piwo z ziaren.
dlga_investment_choose_enterprise:investment_summary.2|Garbarnię, aby wyrabiać skórę
dlga_investment_choose_enterprise:investment_summary.3|Winiarnię, aby wytwarzać wino z winogron.
dlga_investment_choose_enterprise:investment_summary.4|Wytwórnię oleju, aby wytwarzać oliwę z oliwek
dlga_investment_choose_enterprise:investment_summary.5|Kuźnię, aby wytwarzać żelazne narzędzia i przedmioty.
dlga_investment_choose_enterprise:investment_summary.6|Zakład tkacki i farbiarnię, aby wytwarzać aksamit z jedwabiu i farbować odzież
dlga_investment_choose_enterprise:investment_summary.7|Zakład tkacki, aby wytwarzać ubrania z wełny.
dlga_investment_choose_enterprise:investment_summary.8|Zakład tkacki, aby wytwarzać lniany materiał
dlga_investment_choose_enterprise:mayor_pretalk|Nieważne.
dlga_investment_summary:mayor_investment_confirm|Doskonale, {panie/moja pani}. {s3} wymaga materiałów, których koszt w denarach wynosi {reg7}. {s3} obecnie produkuje towar, którym jest {s4} - wart {reg1} denarów na tydzień za partię. {s6} to surowiec potrzebny do stworzenia pojedynczej partii w ilości {reg2}, a koszt pracy i utrzymania wyniesie {reg3}.{s9} Po odliczeniu wydatków na pracę, zakładam, że twój tygodniowy zysk ze sprzedaży w denarach będzie wynosił {reg0}. Oczywiście, przy założeniu, że ceny się nie zmienią, a mogę ci zagwarantować, że się zmienią. Czy chcesz kontynuować?
dlga_mayor_investment_confirm:mayor_investment_purchase|Tak. Oto zapłata za ziemię.
dlga_mayor_investment_confirm:mayor_pretalk|No -- that's not economical for me at the moment.
dlga_mayor_investment_purchase:mayor_pretalk|Very good. Your enterprise should be up and running in about a week. When next you come, and thereafter, you should speak to your {s4} about its operations.
dlga_mayor_talk:close_window|[Odejdź]
dlga_mayor_info_begin:mayor_info_talk|Jestem mistrzem gildii i przedstawicielem mieszkańców {s9}. Mogę pomóc ci w znalezieniu pracy, jeśli interesuje cię jakieś uczciwe zajęcie.
dlga_mayor_info_talk:mayor_info_lord|Kto rządzi tym miastem?
dlga_mayor_info_lord:mayor_info_talk|Panem oraz obrońcą naszego miasta jest {s10}. Czasami urzęduje w zamku, zbiera podatki i zajmuje się innymi sprawami dotyczącymi miasta. Jednak większość dotyczących nas spraw załatwiamy samodzielnie. Jako mistrz miejskiej gildii dysponuję władzą, która umożliwia mi osądzanie takich kwestii.
dlga_mayor_info_talk:mayor_pretalk|To wszystko, co muszę wiedzieć. Dziękuję.
dlga_mayor_political_talk:mayor_political_questions|Polityka? Wielkie nieba! Gildia nie miesza się do polityki. Włada tutaj {s10}, a my jesteśmy lojalnymi poddanymi. Zajmujemy się własnymi sprawami, a wszelakie uwagi obywateli miasta przekazujemy naszym panom i mistrzom. Od czasu do czasu przestrzegamy ich przed brataniem się z różnymi nikczemikami. Ale mniejsza o to... Jakie masz pytania?
dlga_mayor_prepolitics:mayor_political_questions|Czy już wspominałem, że każdy z nas to {s9}? Musisz sobie z tego zdawać sprawę. Ale mniejsza o to. Mogę ci w czymś jeszcze pomóc?
dlga_mayor_political_questions:mayor_war_description_1|Co jest przyczyną wojen w Calradii?
dlga_mayor_war_description_1:mayor_war_description_2|Cóż, mówiąc ogólnie, każdy z monarchów rości sobie prawo bycia następcą starszych calradyjskich władców. Niektóre z roszczeń są wysuwane w oparciu o zapomniane więzi małżeńskie niektórych dynastii, inne na niejasnych obietnicach, podczas gdy{s22}Królestwo Rhodoków przywołuje niepisaną konstytucję imperium. Zatem w teorii, każde królestwo ma prawo wypowiedzieć wojnę innemu w dowolnie wybranym momencie.
dlga_mayor_war_description_2:mayor_war_description_3|W praktyce, wypowiedzenie wojny jest niezwykle wyczerpujące. Łatwo jest zniszczyć pola wrogiego królestwa, ale to działanie na krótką metę. Dużo trudniej przejąć strategiczny punkt i go utrzymać. W związku z tym monarchowie Calradii walczą przez chwilę, podpisują zawieszenie broni, walczą jeszcze trochę, i tak dalej. Często zdarza się, że monarcha wyruszy na wojnę, sprowokowany działaniami innego królestwa. W takich przypadkach pojawiają się kombinatorzy, którzy chcą się wzbogacić na okupie i plądrowaniu, a następnie podnoszą wrzawę o odszkodowania wojenne. Dlatego też szkody dla monarszego skarbca są dużo mniejsze od tych, które mogłyby dotknąć jego pozycji, gdyby postanowił siedzieć bezczynnie. Oczywiście {s10} to inna sprawa, jako że nikt nie odważyłby się kwestionować {reg4?jej:jego} pozycji.
dlga_mayor_war_description_3:mayor_war_description_4|Chciałbym ponownie zaznaczyć, że gildia nie ma nic wspólnego z polityką. Lecz jeśli {s10} poprosi mnie o radę w tej kwestii, jako lojalny poddany, odpowiem {reg4?jej:mu}, że choć {reg4?jej:jego} roszczenia do całej Calradii są zasadne, to nawet najbardziej prawomocne żądania muszą być poparte armią, a armia to pieniądze, te pochodzą z handlu, a handel nie może iść w parze z wojną. Czasem najlepszym sposobem na przeforsowanie swoich żądań jest nieforsowanie niczego, jeśli wiesz, o co mi chodzi...
dlga_mayor_war_description_4:mayor_prepolitics|{s10} może się o tym dowiedzieć od ciebie, jeśli {reg4?ją:go} spotkasz. Nie przywołuj mojego imienia. Wystarczy, że powiesz, że mieszkańcy {s4} tak mówią. To nasza opinia na temat tego, z czego {s10} mógłby mieć najwięcej korzyści. Nikt z nas nie odważyłby się kwestionować suwerennego prawa monarchy do forsowania {reg4?jej:jego} prawomocnych żądań.
dlga_mayor_political_questions:mayor_politics_assess|Jaką drogę polityczną wybiera {s10} w kwestii innych królestw Calradii?
dlga_mayor_politics_assess:mayor_politics_assess_realm|Które królestwo miał{eś/aś} na myśli?
dlga_mayor_politics_assess_realm:mayor_politics_give_realm_assessment|{s11}
dlga_mayor_politics_give_realm_assessment:mayor_prepolitics|{s14}
dlga_mayor_political_questions:mayor_internal_politics|Co możesz powiedzieć o polityce wewnętrznej królestw?
dlga_mayor_internal_politics:mayor_internal_politics_2|{s4} wszystkich jednoczy miłością, jaką bez wątpienia darzymy naszego władcę. {s5} - bo o tej osobie mowa - ma nasze poparcie dla {reg4?jej:jego} roszczeń do rządów nad całą Calradią. Lecz doszły mnie słuchy o wewnętrznych sporach w innych królestwach...
dlga_mayor_internal_politics_2:mayor_internal_politics_3|Szlachcice w każdym z królestw różnią się w kwestiach honoru, strategii i sposobu prowadzenia się osoby dostojnej. Na dodatek, rywalizują między sobą o względy władcy i wciąż kalkulują swoją obecną pozycję - jaka jest ich sytuacja, jaka jest sytuacja ich przyjaciół i rodzin oraz wrogów.
dlga_mayor_internal_politics_3:mayor_internal_politics_4|Podstawą wszystkich napięć jest obawa o to, że pan może porzucić swojego lennika i ustanowić innego wasala. W teorii, każdy z panów złożył hołd lenny, choć w praktyce, wasal zawsze może znaleźć wymówkę, aby uwolnić się od odpowiedzialności. Wasal może stwierdzić, że lennik nie dotrzymał umowy, w myśl której miał chronić wasala i traktować go sprawiedliwie. Wasal może wysunąć również oskarżenie, że jego lennik jest uzurpatorem, a kto inny ma większe szanse na przejęcie tronu.
